Aasta,ICD10,Organ,Paikmed,Sugu,Vanusrühmad kokku,Vanus0-4,Vanus5-9,Vanus10-14,Vanus15-19,Vanus20-24,Vanus25-29,Vanus30-34,Vanus35-39,Vanus40-44,Vanus45-49,Vanus50-54,Vanus55-59,Vanus60-64,Vanus65-69,Vanus70-74,Vanus75-79,Vanus80-84,Vanus85pluss
2007,C00–C97,Kõik paikmed (C00-C97),Kõik paikmed (C00-C97),Mehed,3680,2,2,5,7,12,12,30,43,47,122,223,382,442,702,649,589,297,114
2008,C00–C97,Kõik paikmed (C00-C97),Kõik paikmed (C00-C97),Mehed,3590,6,2,3,8,8,15,12,41,61,109,224,373,451,641,674,514,320,128
2009,C00–C97,Kõik paikmed (C00-C97),Kõik paikmed (C00-C97),Mehed,3613,3,2,2,5,14,23,31,27,45,104,204,353,474,640,690,561,306,129
2000,C00–C97,Kõik paikmed (C00-C97),Kõik paikmed (C00-C97),Naised,3112,8,1,8,9,12,23,37,79,113,154,236,301,396,400,510,412,201,212
2001,C00–C97,Kõik paikmed (C00-C97),Kõik paikmed (C00-C97),Naised,3257,5,5,7,7,15,28,32,55,118,174,274,268,383,476,544,453,222,191
2002,C00–C97,Kõik paikmed (C00-C97),Kõik paikmed (C00-C97),Naised,3108,2,3,8,8,8,19,26,57,119,201,249,254,376,422,500,446,218,192
2003,C00–C97,Kõik paikmed (C00-C97),Kõik paikmed (C00-C97),Naised,3238,8,4,3,4,20,19,37,49,120,183,240,257,361,434,503,514,297,185
2004,C00–C97,Kõik paikmed (C00-C97),Kõik paikmed (C00-C97),Naised,3412,5,1,5,11,13,22,42,61,132,176,260,334,337,480,465,512,343,213
2005,C00–C97,Kõik paikmed (C00-C97),Kõik paikmed (C00-C97),Naised,3280,7,2,7,5,14,20,38,70,107,208,253,271,312,441,482,501,363,179
2006,C00–C97,Kõik paikmed (C00-C97),Kõik paikmed (C00-C97),Naised,3468,6,0,1,9,16,17,39,69,123,198,264,324,344,449,480,543,374,212
2007,C00–C97,Kõik paikmed (C00-C97),Kõik paikmed (C00-C97),Naised,3551,1,1,0,9,18,20,41,86,115,179,266,296,323,499,490,538,430,239
2008,C00–C97,Kõik paikmed (C00-C97),Kõik paikmed (C00-C97),Naised,3605,4,1,5,6,10,22,28,74,94,195,256,350,357,445,546,564,390,258
2009,C00–C97,Kõik paikmed (C00-C97),Kõik paikmed (C00-C97),Naised,3466,2,3,1,2,10,27,35,57,114,199,257,314,350,400,551,485,416,243
2000,C00–C97 v.a.C44,Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Mehed,2640,5,5,6,4,13,16,14,32,67,105,175,291,418,480,531,276,113,89
2001,C00–C97 v.a.C44,Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Mehed,2677,7,2,7,16,11,22,19,31,54,121,198,236,394,507,534,318,126,74
2002,C00–C97 v.a.C44,Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Mehed,2732,7,3,5,13,15,14,12,30,50,96,179,245,430,510,547,335,162,79
2003,C00–C97 v.a.C44,Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Mehed,2886,5,3,3,12,9,13,15,28,61,88,193,264,427,522,575,408,175,85
2004,C00–C97 v.a.C44,Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Mehed,3093,6,5,5,10,11,20,26,25,43,96,187,283,455,586,595,436,203,101
2005,C00–C97 v.a.C44,Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Mehed,2937,3,3,1,8,7,10,15,16,46,113,182,309,354,561,561,460,193,95
2006,C00–C97 v.a.C44,Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Mehed,3326,7,1,4,9,13,14,21,28,56,95,241,314,421,645,619,488,241,109
2007,C00–C97 v.a.C44,Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Mehed,3343,2,2,4,7,12,11,27,39,38,111,202,353,415,658,589,526,251,96
2008,C00–C97 v.a.C44,Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Mehed,3297,6,2,2,8,8,14,9,38,50,95,210,352,434,586,626,462,281,114
2009,C00–C97 v.a.C44,Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Mehed,3291,3,2,2,5,14,21,31,26,39,95,187,328,447,592,617,497,275,110
2000,C00–C97 v.a.C44,Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Naised,2719,8,1,8,9,12,21,34,69,107,143,211,277,347,345,440,343,171,173
2001,C00–C97 v.a.C44,Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Naised,2768,5,5,7,7,14,26,28,52,111,154,248,234,321,403,448,376,175,154
2002,C00–C97 v.a.C44,Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Naised,2679,2,3,8,8,8,19,25,49,108,192,222,213,324,350,437,367,181,163
2003,C00–C97 v.a.C44,Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Naised,2777,8,4,2,4,19,19,36,46,111,165,221,223,317,376,421,420,235,150
2004,C00–C97 v.a.C44,Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Naised,2925,5,1,5,10,13,20,36,53,116,164,243,301,294,408,375,421,292,168
2005,C00–C97 v.a.C44,Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Naised,2786,7,2,7,5,14,17,34,63,102,188,230,236,258,382,394,430,281,136
2006,C00–C97 v.a.C44,Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Naised,3003,6,0,1,9,16,17,33,63,114,182,239,291,309,386,403,449,308,177
2007,C00–C97 v.a.C44,Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Naised,2984,1,1,0,9,17,16,36,80,102,164,237,257,276,418,418,414,346,192
2008,C00–C97 v.a.C44,Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Naised,3079,4,1,5,6,10,21,24,63,82,172,237,307,319,370,453,481,318,206
2009,C00–C97 v.a.C44,Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Kõik paikmed v.a. nahk (muu) (C00–C97 v.a.C44),Naised,2895,2,3,1,2,10,26,30,52,96,183,228,277,300,326,448,382,335,194
2000,C01–C02,..Keel (C01–C02),"Huul, suuõõs, neel (C00–C14)",Mehed,19,0,0,0,0,0,0,0,0,2,2,2,4,2,2,3,0,0,2
2001,C01–C02,..Keel (C01–C02),"Huul, suuõõs, neel (C00–C14)",Mehed,24,0,0,0,0,0,0,0,0,0,1,4,7,5,3,3,1,0,0
2002,C01–C02,..Keel (C01–C02),"Huul, suuõõs, neel (C00–C14)",Mehed,22,0,0,0,0,0,0,1,0,0,0,2,4,9,3,1,2,0,0
2003,C01–C02,..Keel (C01–C02),"Huul, suuõõs, neel (C00–C14)",Mehed,25,0,0,0,0,0,0,0,0,1,0,1,4,8,6,4,1,0,0
2004,C01–C02,..Keel (C01–C02),"Huul, suuõõs, neel (C00–C14)",Mehed,23,0,0,0,0,0,0,1,0,0,1,3,6,4,5,1,1,1,0
2005,C01–C02,..Keel (C01–C02),"Huul, suuõõs, neel (C00–C14)",Mehed,22,0,0,0,0,0,0,0,1,0,1,3,2,5,5,4,1,0,0
2006,C01–C02,..Keel (C01–C02),"Huul, suuõõs, neel (C00–C14)",Mehed,26,0,0,0,0,0,0,0,0,1,1,4,5,6,5,3,1,0,0
2007,C01–C02,..Keel (C01–C02),"Huul, suuõõs, neel (C00–C14)",Mehed,23,0,0,0,0,0,0,0,0,2,2,4,6,2,1,5,0,1,0
2008,C01–C02,..Keel (C01–C02),"Huul, suuõõs, neel (C00–C14)",Mehed,20,0,0,0,0,0,0,0,1,0,0,4,5,1,1,4,1,3,0
2009,C01–C02,..Keel (C01–C02),"Huul, suuõõs, neel (C00–C14)",Mehed,19,0,0,0,0,0,0,0,0,0,3,2,3,6,2,3,0,0,0
2000,C01–C02,..Keel (C01–C02),"Huul, suuõõs, neel (C00–C14)",Naised,8,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,2
2001,C01–C02,..Keel (C01–C02),"Huul, suuõõs, neel (C00–C14)",Naised,17,0,0,0,0,0,0,0,0,0,1,3,1,2,1,4,2,2,1
2002,C01–C02,..Keel (C01–C02),"Huul, suuõõs, neel (C00–C14)",Naised,5,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0
2003,C01–C02,..Keel (C01–C02),"Huul, suuõõs, neel (C00–C14)",Naised,8,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,1,2,0
2004,C01–C02,..Keel (C01–C02),"Huul, suuõõs, neel (C00–C14)",Naised,14,0,0,0,0,0,0,0,0,0,1,2,3,2,3,2,1,0,0
2005,C01–C02,..Keel (C01–C02),"Huul, suuõõs, neel (C00–C14)",Naised,12,0,0,0,0,0,0,0,0,0,3,1,1,1,1,3,1,1,0
2006,C01–C02,..Keel (C01–C02),"Huul, suuõõs, neel (C00–C14)",Naised,5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0
2007,C01–C02,..Keel (C01–C02),"Huul, suuõõs, neel (C00–C14)",Naised,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1
2008,C01–C02,..Keel (C01–C02),"Huul, suuõõs, neel (C00–C14)",Naised,12,0,0,0,0,0,0,0,1,0,0,2,3,1,1,1,1,1,1
2009,C01–C02,..Keel (C01–C02),"Huul, suuõõs, neel (C00–C14)",Naised,11,0,0,0,0,0,1,1,0,0,0,1,2,1,0,2,1,2,0
2000,C03–C06,"..Ige, suupõhi jm. (C03–C06)","Huul, suuõõs, neel (C00–C14)",Mehed,24,0,0,0,0,0,0,0,1,2,2,4,5,3,4,2,0,1,0
2001,C03–C06,"..Ige, suupõhi jm. (C03–C06)","Huul, suuõõs, neel (C00–C14)",Mehed,27,0,0,0,0,0,0,0,1,0,1,8,4,2,6,2,2,1,0
2002,C03–C06,"..Ige, suupõhi jm. (C03–C06)","Huul, suuõõs, neel (C00–C14)",Mehed,24,0,0,0,0,0,0,0,0,1,0,5,4,5,3,3,2,1,0
2003,C03–C06,"..Ige, suupõhi jm. (C03–C06)","Huul, suuõõs, neel (C00–C14)",Mehed,18,0,0,0,0,0,0,0,1,0,3,2,2,2,3,3,2,0,0
2004,C03–C06,"..Ige, suupõhi jm. (C03–C06)","Huul, suuõõs, neel (C00–C14)",Mehed,18,0,0,0,0,0,0,0,0,0,0,3,2,7,4,1,1,0,0
2005,C03–C06,"..Ige, suupõhi jm. (C03–C06)","Huul, suuõõs, neel (C00–C14)",Mehed,28,0,0,0,0,0,1,0,0,0,1,1,9,4,5,2,3,2,0
2006,C03–C06,"..Ige, suupõhi jm. (C03–C06)","Huul, suuõõs, neel (C00–C14)",Mehed,21,0,0,0,0,0,0,0,0,0,3,5,5,3,2,1,1,1,0
2007,C03–C06,"..Ige, suupõhi jm. (C03–C06)","Huul, suuõõs, neel (C00–C14)",Mehed,23,0,0,0,0,1,0,0,0,0,4,1,4,2,7,2,1,0,1
2008,C03–C06,"..Ige, suupõhi jm. (C03–C06)","Huul, suuõõs, neel (C00–C14)",Mehed,24,0,0,0,0,0,0,0,0,0,2,3,7,5,4,2,1,0,0
2009,C03–C06,"..Ige, suupõhi jm. (C03–C06)","Huul, suuõõs, neel (C00–C14)",Mehed,32,0,0,0,0,0,0,0,0,1,2,5,8,6,5,4,1,0,0
2000,C03–C06,"..Ige, suupõhi jm. (C03–C06)","Huul, suuõõs, neel (C00–C14)",Naised,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,0
2001,C03–C06,"..Ige, suupõhi jm. (C03–C06)","Huul, suuõõs, neel (C00–C14)",Naised,9,0,0,0,0,0,0,0,0,0,0,2,1,0,4,1,1,0,0
2002,C03–C06,"..Ige, suupõhi jm. (C03–C06)","Huul, suuõõs, neel (C00–C14)",Naised,8,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,2,0,0
2003,C03–C06,"..Ige, suupõhi jm. (C03–C06)","Huul, suuõõs, neel (C00–C14)",Naised,14,0,0,0,0,0,0,0,0,0,1,3,0,2,3,1,4,0,0
2004,C03–C06,"..Ige, suupõhi jm. (C03–C06)","Huul, suuõõs, neel (C00–C14)",Naised,11,0,0,0,0,0,1,0,0,0,1,1,1,2,3,0,0,1,1
2005,C03–C06,"..Ige, suupõhi jm. (C03–C06)","Huul, suuõõs, neel (C00–C14)",Naised,11,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,2,3,0
2006,C03–C06,"..Ige, suupõhi jm. (C03–C06)","Huul, suuõõs, neel (C00–C14)",Naised,5,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0
2007,C03–C06,"..Ige, suupõhi jm. (C03–C06)","Huul, suuõõs, neel (C00–C14)",Naised,6,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,1,0
2008,C03–C06,"..Ige, suupõhi jm. (C03–C06)","Huul, suuõõs, neel (C00–C14)",Naised,12,0,0,0,0,0,0,0,1,0,1,2,3,2,1,1,0,1,0
2009,C03–C06,"..Ige, suupõhi jm. (C03–C06)","Huul, suuõõs, neel (C00–C14)",Naised,17,0,0,0,0,0,0,0,0,0,1,0,6,3,3,2,0,1,1
2000,C03–C06,..Suured süljenäärmed (C07–C08),"Huul, suuõõs, neel (C00–C14)",Mehed,7,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,1,0,0
2001,C03–C06,..Suured süljenäärmed (C07–C08),"Huul, suuõõs, neel (C00–C14)",Mehed,9,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,1,0
2002,C03–C06,..Suured süljenäärmed (C07–C08),"Huul, suuõõs, neel (C00–C14)",Mehed,7,0,0,0,0,0,1,0,0,0,0,1,0,1,2,2,0,0,0
2003,C03–C06,..Suured süljenäärmed (C07–C08),"Huul, suuõõs, neel (C00–C14)",Mehed,11,0,0,0,0,0,0,0,1,0,0,0,1,3,0,2,2,1,1
2004,C03–C06,..Suured süljenäärmed (C07–C08),"Huul, suuõõs, neel (C00–C14)",Mehed,13,0,0,0,0,0,0,0,0,1,2,1,1,1,2,3,1,0,1
2005,C03–C06,..Suured süljenäärmed (C07–C08),"Huul, suuõõs, neel (C00–C14)",Mehed,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
2006,C03–C06,..Suured süljenäärmed (C07–C08),"Huul, suuõõs, neel (C00–C14)",Mehed,5,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0
2007,C03–C06,..Suured süljenäärmed (C07–C08),"Huul, suuõõs, neel (C00–C14)",Mehed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008,C03–C06,..Suured süljenäärmed (C07–C08),"Huul, suuõõs, neel (C00–C14)",Mehed,14,0,0,0,0,0,0,0,1,1,0,1,2,1,3,2,2,1,0
2009,C03–C06,..Suured süljenäärmed (C07–C08),"Huul, suuõõs, neel (C00–C14)",Mehed,7,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,1,0,0
2000,C03–C06,..Suured süljenäärmed (C07–C08),"Huul, suuõõs, neel (C00–C14)",Naised,9,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,2,0
2001,C03–C06,..Suured süljenäärmed (C07–C08),"Huul, suuõõs, neel (C00–C14)",Naised,12,0,0,1,0,0,0,0,0,0,0,0,2,0,4,0,2,1,2
2002,C03–C06,..Suured süljenäärmed (C07–C08),"Huul, suuõõs, neel (C00–C14)",Naised,9,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0,0,2,1
2003,C03–C06,..Suured süljenäärmed (C07–C08),"Huul, suuõõs, neel (C00–C14)",Naised,8,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,0,1,0
2004,C03–C06,..Suured süljenäärmed (C07–C08),"Huul, suuõõs, neel (C00–C14)",Naised,6,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,0
2005,C03–C06,..Suured süljenäärmed (C07–C08),"Huul, suuõõs, neel (C00–C14)",Naised,8,0,0,0,0,0,0,1,0,0,0,1,2,1,1,0,1,1,0
2006,C03–C06,..Suured süljenäärmed (C07–C08),"Huul, suuõõs, neel (C00–C14)",Naised,11,0,0,0,0,0,0,0,0,1,2,0,1,1,3,0,3,0,0
2007,C03–C06,..Suured süljenäärmed (C07–C08),"Huul, suuõõs, neel (C00–C14)",Naised,7,0,0,0,0,0,0,2,0,1,0,1,0,0,0,2,0,1,0
2008,C03–C06,..Suured süljenäärmed (C07–C08),"Huul, suuõõs, neel (C00–C14)",Naised,13,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,3,2,1
2009,C03–C06,..Suured süljenäärmed (C07–C08),"Huul, suuõõs, neel (C00–C14)",Naised,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1
2000,C09–C10,"..Mandel, suuneel (C09–C10)","Huul, suuõõs, neel (C00–C14)",Mehed,31,0,0,0,0,0,0,0,0,0,5,8,7,4,3,4,0,0,0
2001,C09–C10,"..Mandel, suuneel (C09–C10)","Huul, suuõõs, neel (C00–C14)",Mehed,20,0,0,0,0,0,0,0,1,0,1,3,7,3,3,2,0,0,0
2002,C09–C10,"..Mandel, suuneel (C09–C10)","Huul, suuõõs, neel (C00–C14)",Mehed,23,0,0,0,0,0,0,0,0,0,3,4,4,5,3,2,1,1,0
2003,C09–C10,"..Mandel, suuneel (C09–C10)","Huul, suuõõs, neel (C00–C14)",Mehed,23,0,0,0,0,0,0,0,2,0,1,5,1,8,1,5,0,0,0
2004,C09–C10,"..Mandel, suuneel (C09–C10)","Huul, suuõõs, neel (C00–C14)",Mehed,21,0,0,0,0,0,0,1,0,1,2,2,2,6,3,2,2,0,0
2005,C09–C10,"..Mandel, suuneel (C09–C10)","Huul, suuõõs, neel (C00–C14)",Mehed,15,0,0,0,0,0,0,0,0,0,0,5,4,2,2,2,0,0,0
2006,C09–C10,"..Mandel, suuneel (C09–C10)","Huul, suuõõs, neel (C00–C14)",Mehed,23,0,0,0,0,0,0,0,0,1,3,5,3,4,3,2,2,0,0
2007,C09–C10,"..Mandel, suuneel (C09–C10)","Huul, suuõõs, neel (C00–C14)",Mehed,20,0,0,0,0,0,0,0,1,0,0,4,5,3,4,0,2,1,0
2008,C09–C10,"..Mandel, suuneel (C09–C10)","Huul, suuõõs, neel (C00–C14)",Mehed,26,0,0,0,0,0,0,0,0,2,1,3,3,11,4,1,0,1,0
2009,C09–C10,"..Mandel, suuneel (C09–C10)","Huul, suuõõs, neel (C00–C14)",Mehed,22,0,0,0,0,0,0,0,0,0,1,4,4,6,4,1,2,0,0
2000,C09–C10,"..Mandel, suuneel (C09–C10)","Huul, suuõõs, neel (C00–C14)",Naised,5,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1
2001,C09–C10,"..Mandel, suuneel (C09–C10)","Huul, suuõõs, neel (C00–C14)",Naised,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
2002,C09–C10,"..Mandel, suuneel (C09–C10)","Huul, suuõõs, neel (C00–C14)",Naised,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2003,C09–C10,"..Mandel, suuneel (C09–C10)","Huul, suuõõs, neel (C00–C14)",Naised,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2004,C09–C10,"..Mandel, suuneel (C09–C10)","Huul, suuõõs, neel (C00–C14)",Naised,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2005,C09–C10,"..Mandel, suuneel (C09–C10)","Huul, suuõõs, neel (C00–C14)",Naised,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0
2006,C09–C10,"..Mandel, suuneel (C09–C10)","Huul, suuõõs, neel (C00–C14)",Naised,5,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0
2007,C09–C10,"..Mandel, suuneel (C09–C10)","Huul, suuõõs, neel (C00–C14)",Naised,4,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0
2008,C09–C10,"..Mandel, suuneel (C09–C10)","Huul, suuõõs, neel (C00–C14)",Naised,4,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
2009,C09–C10,"..Mandel, suuneel (C09–C10)","Huul, suuõõs, neel (C00–C14)",Naised,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0
2000,C11,..Ninaneel (C11),"Huul, suuõõs, neel (C00–C14)",Mehed,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2001,C11,..Ninaneel (C11),"Huul, suuõõs, neel (C00–C14)",Mehed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,C11,..Ninaneel (C11),"Huul, suuõõs, neel (C00–C14)",Mehed,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2003,C11,..Ninaneel (C11),"Huul, suuõõs, neel (C00–C14)",Mehed,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
2004,C11,..Ninaneel (C11),"Huul, suuõõs, neel (C00–C14)",Mehed,5,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0
2005,C11,..Ninaneel (C11),"Huul, suuõõs, neel (C00–C14)",Mehed,5,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0
2006,C11,..Ninaneel (C11),"Huul, suuõõs, neel (C00–C14)",Mehed,7,0,0,0,0,0,0,0,1,1,0,1,0,2,1,1,0,0,0
2007,C11,..Ninaneel (C11),"Huul, suuõõs, neel (C00–C14)",Mehed,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2008,C11,..Ninaneel (C11),"Huul, suuõõs, neel (C00–C14)",Mehed,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
